date,account_value,account_value,account_value
2017/10/9,1205780.399,1289483.709,1763669.384
2017/10/10,1207633.323,1287141.047,1753170.262
2017/10/11,1216397.428,1298422.006,1772513.5
2017/10/12,1221753.798,1306849.809,1783768.715
2017/10/13,1212189.821,1305669.579,1786134.011
2017/10/16,1214413.809,1301533.147,1782504.828
2017/10/17,1219630.186,1302134.95,1790200.497
2017/10/18,1207098.778,1316989.746,1796004.159
2017/10/19,1205891.065,1315673.271,1794208.124
2017/10/20,1205712.874,1315567.864,1794036.85
2017/10/23,1206801.964,1316012.481,1795172.27
2017/10/24,1206555.077,1315224.858,1794862.668
2017/10/25,1207431.705,1316389.223,1796681.991
2017/10/26,1207160.277,1317157.403,1797488.456
2017/10/27,1207010.008,1317475.039,1797561.559
2017/10/30,1207379.478,1317797.477,1797817.553
2017/10/31,1204772.721,1314754.657,1791367.838
2017/11/1,1206069.589,1314630.276,1791840.541
2017/11/2,1207230.964,1315710.461,1791846.384
2017/11/3,1205254.703,1315892.633,1789869.881
2017/11/6,1203091.49,1313306.905,1786392.512
2017/11/7,1209285.989,1315239.161,1796661.594
2017/11/8,1207830.297,1313575.769,1792844.498
2017/11/9,1209292.045,1313497.563,1795690.922
2017/11/10,1218409.387,1322111.362,1809027.264
2017/11/13,1217238.566,1322614.865,1807811.138
2017/11/14,1216818.854,1323449.921,1807815.599
2017/11/15,1219640.162,1326374.918,1811842.518
2017/11/16,1226457.034,1333610.705,1822448.227
2017/11/17,1233214.118,1342521.851,1836086.727
2017/11/20,1242011.605,1355810.976,1858004.897
2017/11/21,1239327.726,1353832.441,1856918.966
2017/11/22,1251047.659,1358509.961,1875689.293
2017/11/24,1240046.586,1342578.128,1856021.905
2017/11/27,1235142.991,1338343.798,1849581.677
2017/11/28,1238169.461,1339403.669,1856251.149
2017/11/29,1245996.651,1350157.397,1872989.724
2017/11/30,1251976.718,1356843.619,1873638.351
2017/12/1,1259579.065,1360420.718,1886410.15
2017/12/4,1263313.952,1367055.467,1896513.711
2017/12/5,1262203.348,1366597.28,1900838.205
2017/12/6,1264154.911,1363918.522,1899898.508
2017/12/7,1274717.872,1373111.284,1913895.421
2017/12/8,1270546.744,1367302.856,1912112.768
2017/12/11,1267732.83,1367141.262,1919498.886
2017/12/12,1269497.607,1366389.015,1917581.53
2017/12/13,1263230.835,1358595.05,1907107.937
2017/12/14,1263305.368,1356031.541,1908660.026
2017/12/15,1266073.099,1357645.211,1911632.362
2017/12/18,1268586.365,1362234.644,1914683.26
2017/12/19,1267623.24,1363064.558,1915466.979
2017/12/20,1269956.186,1360191.364,1913771.579
2017/12/21,1283754.201,1372947.289,1922152.799
2017/12/22,1291943.786,1384741.946,1945080.548
2017/12/26,1295381.188,1385685.277,1957498.984
2017/12/27,1295956.341,1383965.189,1967361.859
2017/12/28,1293106.532,1380149.427,1967623.276
2017/12/29,1298339.257,1387623.053,1983359.971
2018/1/2,1310925.679,1403064.848,2016735.722
2018/1/3,1322623.807,1422034.411,2037115.036
2018/1/4,1323165.558,1426529.188,2053740.389
2018/1/5,1329508.053,1437474.39,2068780.358
2018/1/8,1335717.384,1439103.221,2065315.462
2018/1/9,1340386.585,1440928.23,2067707.293
2018/1/10,1352950.827,1452551.037,2082142.751
2018/1/11,1354930.391,1454604.749,2084393.353
2018/1/12,1353699.803,1454749.121,2088577.36
2018/1/16,1360564.339,1467430.28,2112100.909
2018/1/17,1363971.063,1474106.717,2119855.94
2018/1/18,1345419.887,1436577.504,2061813.137
2018/1/19,1346463.249,1444334.584,2107605.029
2018/1/22,1343673.516,1435745.802,2090975.979
2018/1/23,1326389.927,1417226.872,2062448.257
2018/1/24,1288963.515,1366084.902,1972150.134
2018/1/25,1258177.866,1341110.725,1938453.458
2018/1/26,1293316.837,1370646.696,2009000.072
2018/1/29,1259698.103,1338831.885,1960184.107
2018/1/30,1239821.401,1316809.905,1917957.311
2018/1/31,1274012.627,1351072.213,1977767.45
2018/2/1,1272355.202,1351846.65,1977351.362
2018/2/2,1282909.294,1358129.566,1987756.752
2018/2/5,1313608.763,1378723.625,2016429.334
2018/2/6,1330082.454,1395164.744,2037190.731
2018/2/7,1323247.683,1388747.822,2033955.27
2018/2/8,1321758.642,1391514.96,2034745.028
2018/2/9,1311983.576,1385035.966,2027012.374
2018/2/12,1319083.064,1392743.296,2040766.438
2018/2/13,1343788.452,1413088.749,2074514.472
2018/2/14,1348086.794,1415894.241,2089103.405
2018/2/15,1342773.966,1400188.504,2070338.482
2018/2/16,1335312.188,1373418.708,2022396.123
2018/2/20,1322921.283,1360547.967,1985659.478
2018/2/21,1334764.952,1370794.1,2007469.569
2018/2/22,1345610.291,1377099.877,2026964.052
2018/2/23,1341276.954,1372696.109,2010393.383
2018/2/26,1353841.479,1384021.699,2023402.066
2018/2/27,1368066.612,1395110.404,2036570.576
2018/2/28,1379150.757,1402325.897,2037079.438
2018/3/1,1375354.96,1397689.828,2030580.615
2018/3/2,1369888.496,1390113.347,2010554.02
2018/3/5,1370962.617,1389036.578,2007492.867
2018/3/6,1369648.238,1395983.849,2013258.897
2018/3/7,1352294.312,1378090.698,1993756.581
2018/3/8,1357246.8,1380338.276,2005726.266
2018/3/9,1346314.973,1378748.056,2010047.107
2018/3/12,1320025.268,1350316.746,1959682.43
2018/3/13,1300531.822,1327665.169,1933185.269
2018/3/14,1305898.513,1338901.033,1953812.601
2018/3/15,1310454.064,1344200.221,1963165.814
2018/3/16,1293574.43,1331830.847,1931156.014
2018/3/19,1303157.332,1338214.063,1952347.339
2018/3/20,1291527.401,1322383.033,1933776.643
2018/3/21,1293797.191,1328284.679,1946964.522
